x_m,y_m,z_m,v,yaw
0.6507601922596962,6.0432589348472,0,5,0
0.5645180213161666,6.0931365161918105,0,5,0
0.478275850372637,6.143014097536423,0,5,0
0.3957238358639501,6.198787296548182,0,5,0
0.3131718213552631,6.25456049555994,0,5,0
0.2347123117226744,6.315957484733218,0,5,0
0.1562528020900856,6.377354473906497,0,5,0
0.0822681994001754,6.444076010649972,0,5,0
0.0082835967102653,6.510797547393446,0,5,0
-0.0608655070994473,6.582518439399471,0,5,0
-0.1300146109091599,6.654239331405496,0,5,0
-0.1939911916123008,6.730610019717819,0,5,0
-0.2579677723154418,6.806980708030142,0,5,0
-0.3164600156280528,6.887628971255083,0,5,0
-0.3749522589406638,6.968277234480024,0,5,0
-0.4276750817229754,7.052810002846243,0,5,0
-0.480397904505287,7.137342771212463,0,5,0
-0.5270943386904178,7.225348042238292,0,5,0
-0.5737907728755488,7.313353313264122,0,5,0
-0.6142332388964349,7.404402160346942,0,5,0
-0.654675704917321,7.495451007429762,0,5,0
-0.6886670412317443,7.589099668297852,0,5,0
-0.7226583775461677,7.682748329165941,0,5,0
-0.7500331038104492,7.778540376637494,0,5,0
-0.7774078300747306,7.874332424109048,0,5,0
-0.7980318074296691,7.971800960638095,0,5,0
-0.8186557847846075,8.069269497167141,0,5,0
-0.8324312158101463,8.167939544288563,0,5,0
-0.8462066468356852,8.266609591409987,0,5,0
-0.853056081240672,8.365999973134587,0,5,0
-0.8599055156456586,8.465390354859187,0,5,0
-0.8616458330060056,8.565001876573001,0,5,0
-0.8633861503663525,8.664613398286816,0,5,0
-0.8704374618314603,8.76399088155729,0,5,0
-0.8774887732965682,8.863368364827767,0,5,0
-0.8914486090872089,8.962011924421,0,5,0
-0.9054084448778495,9.060655484014234,0,5,0
-0.926218836490341,9.15808460703752,0,5,0
-0.9470292281028322,9.255513730060809,0,5,0
-0.9745860111988236,9.351253487169908,0,5,0
-1.0021427942948151,9.446993244279009,0,5,0
-1.0363124042445722,9.540577031068608,0,5,0
-1.0704820141943288,9.63416081785821,0,5,0
-1.111097710419088,9.725132513083905,0,5,0
-1.1517134066438472,9.816104208309602,0,5,0
-1.1985772880880066,9.904020428473189,0,5,0
-1.2454411695321654,9.991936648636774,0,5,0
-1.2983248124521936,10.076368900424235,0,5,0
-1.351208455372222,10.160801152211702,0,5,0
-1.40985411539653,10.241337923242035,0,5,0
-1.4684997754208382,10.321874694272374,0,5,0
-1.5326216196634677,10.39812345812739,0,5,0
-1.596743463906097,10.474372221982406,0,5,0
-1.666028970624899,10.545961351503983,0,5,0
-1.735314477343701,10.617550481025564,0,5,0
-1.8094259573568336,10.684131059534506,0,5,0
-1.8835374373699665,10.750711638043448,0,5,0
-1.9621136803938493,10.81195915992941,0,5,0
-2.040689923417733,10.873206681815374,0,5,0
-2.12334795843106,10.92882263413417,0,5,0
-2.206005993444387,10.984438586452962,0,5,0
-2.292342955277593,11.034151903843124,0,5,0
-2.3786799171107984,11.083865221233282,0,5,0
-2.468275009952112,11.127433607055304,0,5,0
-2.5578701027934247,11.171001992877327,0,5,0
-2.6502866510988783,11.20821310013796,0,5,0
-2.742703199404332,11.245424207398594,0,5,0
-2.837490776200346,11.276096673704156,0,5,0
-2.9322783529963603,11.306769140009717,0,5,0
-3.028974975206009,11.330753471504243,0,5,0
-3.125671597415658,11.354737802998772,0,5,0
-3.223805977507735,11.371917102978854,0,5,0
-3.321940357599812,11.389096402958934,0,5,0
-3.421034200586744,11.39938694161394,0,5,0
-3.520128043573675,11.409677480268943,0,5,0
-3.619698378162866,11.4130291027699,0,5,0
-3.719268712752058,11.41638072527086,0,5,0
-3.818830245289042,11.412777096218992,0,5,0
-3.918391777826026,11.409173467167124,0,5,0
-4.017459257556456,11.398632150210569,0,5,0
-4.116526737286888,11.388090833254012,0,5,0
-4.214617321409492,11.370663205484751,0,5,0
-4.312707905532096,11.353235577715488,0,5,0
-4.409343512515534,11.329006579263655,0,5,0
-4.505979119498972,11.304777580811823,0,5,0
-4.600688759192855,11.273865300857915,0,5,0
-4.695398398886738,11.24295302090401,0,5,0
-4.787720468070109,11.205508122126608,0,5,0
-4.88004253725348,11.168063223349202,0,5,0
-4.969527069432587,11.124268207613472,0,5,0
-5.059011601611696,11.080473191877742,0,5,0
-5.14522246010163,11.030541510743646,0,5,0
-5.231433318591565,10.980609829609552,0,5,0
-5.313950322193672,10.924784843994962,0,5,0
-5.396467325795777,10.86895985838037,0,5,0
-5.474888296707807,10.8075136524498,0,5,0
-5.553309267619834,10.746067446519234,0,5,0
-5.627251991607869,10.679299501578278,0,5,0
-5.701194715595904,10.612531556637322,0,5,0
-5.770298804835713,10.540767291499572,0,5,0
-5.839402894075523,10.469003026361824,0,5,0
-5.903331543729834,10.392592211288758,0,5,0
-5.9672601933841465,10.316181396215695,0,5,0
-6.025701822805246,10.235496448211338,0,5,0
-6.084143452226346,10.154811500206984,0,5,0
-6.136813224855299,10.070245667781542,0,5,0
-6.189482997484254,9.985679835356098,0,5,0
-6.236124204235011,9.897645282338084,0,5,0
-6.282765410985769,9.80961072932007,0,5,0
-6.323150739786207,9.71853652429636,0,5,0
-6.363536068586643,9.62746231927265,0,5,0
-6.3974686430297645,9.53379235085697,0,5,0
-6.431401217472888,9.440122382441292,0,5,0
-6.4587158172918295,9.344313171334369,0,5,0
-6.486030417110772,9.248503960227447,0,5,0
