# x_m,y_m,w_tr_right_m,w_tr_left_m,v,theta
-6.044636207827002,21.32234456808535,1.5,1.5,2,0
-6.228638170499647,21.354555755548,1.5,1.5,2,0
-6.414439126100144,21.373850515526136,1.5,1.5,2,0
-6.600240081700641,21.39314527550427,1.5,1.5,2,0
-6.786934459055373,21.39942956769356,1.5,1.5,2,0
-6.973628836410107,21.405713859882862,1.5,1.5,2,0
-7.160306709916954,21.39895705541061,1.5,1.5,2,0
-7.346984583423799,21.39220025093836,1.5,1.5,2,0
-7.532736107918354,21.37243528164482,1.5,1.5,2,0
-7.718487632412914,21.35267031235127,1.5,1.5,2,0
-7.902407477642797,21.319993510283908,1.5,1.5,2,0
-8.08632732287268,21.28731670821654,1.5,1.5,2,0
-8.267519085966624,21.241887336119355,1.5,1.5,2,0
-8.448710849060571,21.19645796402217,1.5,1.5,2,0
-8.626291423486602,21.13849743910859,1.5,1.5,2,0
-8.803871997912633,21.08053691419501,1.5,1.5,2,0
-8.976975877631455,21.010327728987388,1.5,1.5,2,0
-9.150079757350277,20.94011854377976,1.5,1.5,2,0
-9.3178632551861,20.85800288927526,1.5,1.5,2,0
-9.48564675302193,20.775887234770764,1.5,1.5,2,0
-9.647292112690556,20.68226533264433,1.5,1.5,2,0
-9.808937472359183,20.58864343051791,1.5,1.5,2,0
-9.963656854113134,20.48397158249056,1.5,1.5,2,0
-10.118376235867084,20.379299734463192,1.5,1.5,2,0
-10.265415556327138,20.26408809834337,1.5,1.5,2,0
-10.412454876787187,20.14887646222356,1.5,1.5,2,0
-10.551097484264751,20.023686565459272,1.5,1.5,2,0
-10.68974009174232,19.89849666869498,1.5,1.5,2,0
-10.819310259066963,19.763938671561696,1.5,1.5,2,0
-10.948880426391606,19.62938067442842,1.5,1.5,2,0
-11.06874664449344,19.48611039616642,1.5,1.5,2,0
-11.188612862595274,19.342840117904423,1.5,1.5,2,0
-11.298190917759836,19.19155584039626,1.5,1.5,2,0
-11.407768972924398,19.04027156288809,1.5,1.5,2,0
-11.506524796603683,18.88171062709039,1.5,1.5,2,0
-11.605280620282976,18.723149691292683,1.5,1.5,2,0
-11.692732882940646,18.558084904383907,1.5,1.5,2,0
-11.780185145598317,18.39302011747513,1.5,1.5,2,0
-11.855907637099136,18.222255983055675,1.5,1.5,2,0
-11.931630128599956,18.051491848636218,1.5,1.5,2,0
-11.995253705680808,17.87586065785682,1.5,1.5,2,0
-12.058877282761664,17.70022946707742,1.5,1.5,2,0
-12.110092157422178,17.520587196251938,1.5,1.5,2,0
-12.161307032082696,17.340944925426463,1.5,1.5,2,0
-12.199862438002196,17.158167237068255,1.5,1.5,2,0
-12.238417843921695,16.97538954871005,1.5,1.5,2,0
-12.264130204299835,16.790366871990983,1.5,1.5,2,0
-12.289842564677976,16.605344195271922,1.5,1.5,2,0
-12.302570238664854,16.418979841369328,1.5,1.5,2,0
-12.315297912651731,16.232615487466738,1.5,1.5,2,0
-12.3167844556109,16.04581960496024,1.5,1.5,2,0
-12.318270998570064,15.859023722453747,1.5,1.5,2,0
-12.318280512887316,15.672224234837318,1.5,1.5,2,0
-12.31829002720456,15.48542474722089,1.5,1.5,2,0
-12.318287477850935,15.298624444830578,1.5,1.5,2,0
-12.318284928497311,15.111824142440264,1.5,1.5,2,0
-12.318285611594558,14.92502405836795,1.5,1.5,2,0
-12.3182862946918,14.73822397429563,1.5,1.5,2,0
-12.318286111656446,14.551423831725188,1.5,1.5,2,0
-12.318285928621096,14.364623689154746,1.5,1.5,2,0
-12.318285977665264,14.177823562258832,1.5,1.5,2,0
-12.318286026709435,13.991023435362912,1.5,1.5,2,0
-12.318286013568096,13.804223304267024,1.5,1.5,2,0
-12.31828600042675,13.617423173171137,1.5,1.5,2,0
-12.318286003947955,13.430623043200626,1.5,1.5,2,0
-12.31828600746917,13.24382291323012,1.5,1.5,2,0
-12.318286006525668,13.057022782958056,1.5,1.5,2,0
-12.318286005582166,12.870222652685992,1.5,1.5,2,0
-12.318286005834976,12.683422522494734,1.5,1.5,2,0
-12.318286006087789,12.496622392303475,1.5,1.5,2,0
-12.318286006020047,12.309822262090568,1.5,1.5,2,0
-12.318286005952304,12.123022131877654,1.5,1.5,2,0
-12.318286005970458,11.936222001670547,1.5,1.5,2,0
-12.318286005988616,11.749421871463442,1.5,1.5,2,0
-12.318286005983728,11.562621741254782,1.5,1.5,2,0
-12.318286005978845,11.375821611046124,1.5,1.5,2,0
-12.318286005980228,11.189021480837882,1.5,1.5,2,0
-12.318286005981614,11.00222135062964,1.5,1.5,2,0
-12.318286005980967,10.815421220421271,1.5,1.5,2,0
-12.318286005980324,10.6286210902129,1.5,1.5,2,0
-12.318286005981523,10.441820960004607,1.5,1.5,2,0
-12.31828600598272,10.25502082979632,1.5,1.5,2,0
-12.318286005978576,10.068220699587858,1.5,1.5,2,0
-12.318286005974432,9.8814205693794,1.5,1.5,2,0
-12.318286005989814,9.69462043917154,1.5,1.5,2,0
-12.3182860060052,9.507820308963682,1.5,1.5,2,0
-12.318286005947794,9.321020178753573,1.5,1.5,2,0
-12.31828600589039,9.134220048543453,1.5,1.5,2,0
-12.318286006104625,8.94741991834174,1.5,1.5,2,0
-12.318286006318855,8.760619788140026,1.5,1.5,2,0
-12.318286005519331,8.573819657907006,1.5,1.5,2,0
-12.318286004719806,8.387019527673981,1.5,1.5,2,0
-12.31828600770367,8.2002193975578,1.5,1.5,2,0
-12.318286010687537,8.013419267441618,1.5,1.5,2,0
-12.318285999551614,7.826619136889361,1.5,1.5,2,0
-12.318285988415695,7.639819006337105,1.5,1.5,2,0
-12.318286029975509,7.453018877412311,1.5,1.5,2,0
-12.318286071535322,7.266218748487518,1.5,1.5,2,0
-12.318285916431975,7.079418613488948,1.5,1.5,2,0
-12.318285761328632,6.892618478490377,1.5,1.5,2,0
-12.318286340182205,6.705818366159449,1.5,1.5,2,0
-12.31828691903578,6.519018253828524,1.5,1.5,2,0
-12.318284758724833,6.332218056900809,1.5,1.5,2,0
-12.318282598413893,6.145417859973094,1.5,1.5,2,0
-12.31829066080408,5.958617978764888,1.5,1.5,2,0
-12.318298723194273,5.771818097556682,1.5,1.5,2,0
-12.318268578890594,5.585017038765279,1.5,1.5,2,0
-12.318238434586917,5.398215979973874,1.5,1.5,2,0
-12.31328679230478,5.211483533555565,1.5,1.5,2,0
-12.30833515002264,5.024751087137255,1.5,1.5,2,0
-12.29041172437939,4.838810924762575,1.5,1.5,2,0
-12.272488298736135,4.652870762387895,1.5,1.5,2,0
-12.24165916750821,4.468633076848799,1.5,1.5,2,0
